Scenario,RMSE,R2,FR_Depth,FloodedPct
Base,11.014774425985197,-62.15736165711016,-66.14810222671517,31.653501443111043
K1_minus20,12.444088311581305,-79.6118583903513,-68.04772469835669,33.134589093118635
K1_plus20,9.958823409124662,-50.62841915382054,-64.31487733052629,30.510405590156463
K2_minus20,11.069198844919704,-62.7830294189734,-66.25556653351774,31.74084763785508
K2_plus20,10.960881205415703,-61.54083942474069,-66.02025479384324,31.55476226644387
RCH_plus20,13.398716960240042,-92.45427880280269,-72.86775647264601,34.29667324927844
