Row,Col
124,78
127,132
122,83
111,147
69,141
126,134
70,142
128,131
121,109
117,146
119,131
112,149
117,145
186,183
117,85
118,85
161,181
73,181
127,131
120,85
73,182
126,132
185,183
125,204
99,66
122,97
106,18
113,148
123,81
121,84
116,145
120,109
118,131
131,180
70,141
98,208
112,148
113,149
121,85
122,88
126,133
117,132
138,178
126,204
138,180
120,131
114,146
186,184
103,42
98,65
118,86
124,133
97,92
97,208
128,205
133,180
69,140
115,145
98,92
111,146
72,182
105,18
72,181
99,57
122,132
189,186
125,133
104,18
119,132
123,98
103,18
138,179
124,132
97,58
119,86
112,147
137,180
110,216
112,146
132,180
93,79
123,132
98,66
119,109
98,93
113,146
121,89
119,88
116,133
121,132
116,132
119,101
119,93
132,181
162,181
113,137
69,139
102,20
162,182
102,19
122,89
138,181
98,209
120,86
103,19
127,205
113,145
71,182
115,133
119,87
98,94
70,139
117,93
97,66
120,87
114,145
120,132
122,98
121,98
70,182
99,143
96,58
120,88
121,90
122,90
114,136
115,141
118,108
115,142
127,209
110,217
165,182
97,210
118,109
114,144
129,207
118,93
102,42
119,100
128,206
69,138
121,97
119,91
101,42
98,95
114,141
133,182
133,181
69,182
114,140
127,208
122,91
96,66
112,115
120,89
69,181
115,135
117,98
113,144
70,137
110,137
92,80
100,21
99,142
137,181
117,94
114,143
128,208
101,20
116,95
91,80
114,142
115,134
110,138
120,91
117,95
121,91
118,98
128,207
98,96
68,181
69,136
117,97
113,140
97,209
128,209
69,137
96,210
113,143
99,141
100,139
118,99
135,182
114,135
119,99
116,101
107,218
114,105
164,182
119,92
116,103
68,182
117,101
92,79
189,187
97,37
96,57
113,114
118,97
110,135
117,108
116,96
110,136
109,217
113,106
163,182
95,66
111,138
68,136
113,115
113,136
118,101
109,135
112,137
120,98
116,97
134,182
115,104
100,20
99,140
112,138
119,97
68,135
120,97
99,139
113,104
98,20
109,134
102,136
116,108
114,111
128,210
98,97
101,43
67,134
116,102
111,107
113,105
95,57
67,182
112,139
67,135
108,132
115,102
99,48
111,113
113,139
100,138
112,106
114,104
115,103
116,109
128,211
97,38
108,133
67,133
107,219
99,20
92,57
66,133
67,183
97,215
111,106
95,67
93,57
109,218
96,19
100,48
101,137
112,114
66,132
97,97
171,194
67,132
115,108
114,109
66,182
108,134
107,131
165,183
107,132
91,79
166,183
100,43
113,109
92,109
101,136
95,108
100,137
109,110
170,194
89,61
104,129
114,110
97,19
94,57
115,109
129,211
108,110
96,211
91,127
113,108
114,108
95,68
100,44
137,182
135,183
167,183
106,132
138,185
105,111
105,129
110,109
110,108
147,193
96,18
111,108
98,19
113,111
99,132
66,183
67,131
107,220
109,109
65,165
106,131
66,131
74,99
103,132
106,129
112,112
103,131
104,130
102,132
99,47
98,214
94,69
107,110
95,18
111,109
113,112
112,113
102,135
96,97
101,131
75,99
105,132
105,131
73,100
94,18
148,193
103,133
90,107
94,67
103,134
136,183
108,218
104,111
190,192
101,132
191,191
104,131
112,109
166,184
187,194
136,184
102,133
65,130
93,97
107,129
187,193
85,120
137,183
94,68
188,193
94,132
167,184
84,128
87,114
96,38
168,187
92,58
105,110
137,184
99,130
95,40
98,126
99,45
66,130
97,212
99,131
129,212
93,69
102,134
99,44
90,79
106,110
76,99
189,193
137,185
91,128
93,16
64,164
94,16
135,195
100,131
95,97
94,17
103,110
88,127
89,127
84,124
99,46
187,195
73,99
85,128
84,127
93,58
99,109
103,111
92,129
130,212
93,130
64,165
92,130
170,193
96,212
99,129
101,110
64,182
96,108
63,182
91,60
90,127
87,113
63,183
92,115
65,183
52,167
86,128
90,60
91,116
95,125
96,126
93,109
84,119
100,109
169,193
166,185
136,185
84,121
91,129
94,97
65,129
98,127
87,129
93,132
96,125
99,128
102,110
72,100
84,126
100,110
93,131
89,114
134,195
51,167
54,149
88,114
136,188
93,122
84,125
92,116
136,187
168,188
190,187
85,124
92,71
93,60
93,115
167,185
85,109
135,194
88,119
196,195
87,128
84,123
101,111
94,42
131,213
53,149
95,124
84,122
100,132
167,187
92,60
130,213
107,223
168,189
64,183
108,223
89,119
94,124
90,118
108,220
88,118
89,115
88,115
54,148
191,189
97,126
98,46
89,120
94,125
89,128
72,99
86,109
98,45
91,120
94,41
170,192
195,196
98,128
52,148
93,134
196,196
84,120
97,46
134,196
92,110
94,134
85,123
108,224
136,186
97,109
94,109
92,121
135,193
62,182
92,120
90,120
147,192
167,186
96,109
97,213
87,118
92,113
95,109
98,109
76,98
94,133
85,113
93,70
94,123
63,165
189,192
93,114
72,124
190,189
85,121
89,60
97,45
89,79
65,128
94,122
64,127
70,100
93,15
102,111
115,225
53,148
67,192
83,119
135,189
84,112
84,118
90,119
67,190
86,113
93,121
90,117
67,193
90,116
93,113
71,99
82,118
85,118
93,71
168,190
92,111
62,181
117,226
92,112
195,198
84,117
95,38
190,190
71,100
108,221
62,164
53,167
93,59
109,222
93,99
96,45
168,191
89,116
65,127
88,61
135,188
91,105
108,222
85,110
134,189
191,190
93,14
67,191
84,110
88,108
95,39
94,40
97,214
149,193
116,226
87,109
87,108
80,99
190,191
68,193
96,46
94,38
195,197
62,165
71,124
92,14
52,147
190,188
85,112
83,117
93,38
107,224
171,195
116,225
60,188
86,118
83,118
88,129
84,111
88,128
89,117
134,192
93,98
94,39
52,146
66,190
92,100
197,195
134,194
61,164
194,197
134,193
135,192
61,180
95,45
70,99
168,192
61,188
68,194
62,180
92,13
88,107
90,106
81,98
134,190
193,199
94,43
87,76
134,191
60,189
131,214
61,179
77,98
89,78
89,107
94,44
169,192
132,214
135,191
187,196
65,126
194,198
194,199
69,126
131,215
70,124
69,125
90,13
70,125
91,72
91,13
132,215
91,73
91,101
92,72
89,106
68,127
82,99
90,100
91,100
67,127
83,13
95,44
60,164
82,98
89,77
69,99
134,197
51,146
78,99
79,99
83,12
91,10
63,124
89,12
91,102
60,165
90,105
89,102
90,12
93,41
78,98
91,104
92,99
85,100
81,97
87,103
91,11
64,123
80,98
90,10
64,125
84,100
88,77
67,194
88,102
89,11
89,9
90,73
89,10
86,102
66,126
85,11
85,101
83,100
64,124
87,75
60,179
87,12
90,9
59,189
88,76
87,11
88,10
83,99
89,73
88,11
89,103
93,42
87,102
86,101
90,11
84,12
90,104
86,12
90,102
65,125
85,12
68,126
63,123
90,101
83,11
67,126
193,200
84,13
66,125
90,103
88,73
64,122
68,99
