Row,Col
89,127
84,124
73,99
85,128
84,127
99,109
103,111
92,129
93,130
92,130
99,129
101,110
96,108
90,127
87,113
92,115
86,128
91,116
95,125
96,126
93,109
84,119
100,109
84,121
91,129
94,97
65,129
98,127
87,129
93,132
96,125
99,128
102,110
72,100
84,126
100,110
93,131
89,114
88,114
93,122
84,125
92,116
85,124
93,115
85,109
88,119
87,128
84,123
101,111
95,124
84,122
100,132
89,119
94,124
90,118
88,118
89,115
88,115
97,126
89,120
94,125
89,128
72,99
86,109
91,120
98,128
93,134
84,120
92,110
94,134
85,123
97,109
94,109
92,121
92,120
90,120
96,109
87,118
92,113
95,109
98,109
76,98
94,133
85,113
94,123
93,114
72,124
85,121
65,128
94,122
64,127
70,100
102,111
83,119
84,112
84,118
90,119
86,113
93,121
90,117
90,116
93,113
71,99
82,118
85,118
92,111
92,112
84,117
71,100
93,99
89,116
65,127
91,105
85,110
84,110
88,108
87,109
87,108
80,99
71,124
85,112
83,117
86,118
83,118
88,129
84,111
88,128
89,117
93,98
92,100
61,164
194,197
134,193
135,192
61,180
95,45
70,99
168,192
61,188
68,194
62,180
92,13
88,107
90,106
181,230
81,98
134,190
193,199
94,43
87,76
134,191
199,196
60,189
131,214
61,179
77,98
89,78
89,107
94,44
169,192
132,214
135,191
187,196
65,126
194,198
194,199
69,126
131,215
70,124
69,125
90,13
27,105
70,125
91,72
91,13
132,215
91,73
91,101
92,72
27,104
89,106
68,127
82,99
90,100
91,100
67,127
83,13
173,233
95,44
60,164
82,98
89,77
69,99
134,197
51,146
78,99
79,99
83,12
91,10
63,124
89,12
91,102
60,165
90,105
89,102
90,12
93,41
78,98
91,104
92,99
85,100
81,97
87,103
91,11
64,123
80,98
90,10
90,1
64,125
26,105
84,100
88,77
67,194
88,102
90,0
89,11
89,9
90,73
89,10
86,102
66,126
85,11
85,101
83,100
64,124
87,75
60,179
87,12
90,9
190,225
59,189
88,76
87,11
88,10
83,99
89,73
88,11
89,103
93,42
87,102
86,101
90,11
84,12
90,104
86,12
90,102
65,125
85,12
68,126
63,123
90,101
199,215
83,11
67,126
193,200
84,13
66,125
90,103
88,73
64,122
68,99
166,239
