Row,Col,Length,Z_up,Z_down,Basin,Slope
64,124,57.23830197554208,3.3773205280303955,3.1056647300720215,2344,0.004746049211495696
64,125,89.06668847194237,2.798529863357544,3.3773205280303955,2344,0.0001
65,123,18.0807050578138,3.1056647300720215,1.2335309982299805,2344,0.10354318185357352
65,124,101.80412989587705,3.1056647300720215,3.1056647300720215,2344,0.0001
65,125,137.43674732430622,3.0175600051879883,2.798529863357544,2344,0.001593679609672398
65,126,3.984608912920967,2.2308266162872314,3.0175600051879883,2344,0.0001
65,128,14.24149598142677,5.641580581665039,5.641580581665039,2344,0.0001
66,126,207.4308549197088,4.333019733428955,2.2308266162872314,2344,0.01013442825540795
66,127,109.00137390813038,5.641580581665039,4.333019733428955,2344,0.012004994077771702
66,128,127.17986025456565,6.2116241455078125,5.641580581665039,2344,0.00448218422871171
66,129,141.42135623599242,7.416053771972656,6.2116241455078125,2344,0.008516603563432031
66,130,128.96137416457134,8.849453926086426,7.416053771972656,2344,0.011114957198614883
66,131,118.95582043272599,8.444186210632324,8.849453926086426,2344,0.0001
67,126,74.76451739126875,2.9107677936553955,1.5194851160049438,2344,0.018608863217418833
67,127,60.32388559244385,1.7578383684158325,2.9107677936553955,2344,0.0001
67,131,22.465535803924976,10.015779495239258,8.444186210632324,2344,0.06995574458243542
67,132,138.86843930197608,10.204357147216797,10.015779495239258,2344,0.0013579590360878753
67,133,63.157176503020864,12.462357521057129,11.64763069152832,2344,0.01289998816666289
67,134,105.79276836221638,12.621451377868652,12.462357521057129,2344,0.0015038254435956646
68,127,111.17852835171344,3.743664503097534,1.7578383684158325,2344,0.017861597595531555
68,128,16.032979027790837,3.802112579345703,3.743664503097534,2344,0.0036454907192766677
68,132,20.173992569170288,11.64763069152832,10.204357147216797,2344,0.0715412945336919
68,133,78.26417973363009,11.64763069152832,11.64763069152832,2344,0.0001
68,134,23.168605801037863,13.255202293395996,12.621451377868652,2344,0.02735386500895769
68,135,128.96137416453723,13.00926399230957,13.255202293395996,2344,0.0001
68,136,35.02006995655376,13.659103393554688,13.00926399230957,2344,0.018556199403693775
69,100,13.981379005126655,3.6370348930358887,0.7511708736419678,2422,0.20640768112614213
69,127,93.04630846446305,4.263950347900391,3.802112579345703,2344,0.004963525970845754
69,128,37.66493248516124,3.802112579345703,3.802112579345703,2344,0.0001
69,136,106.4012862814143,14.167864799499512,13.659103393554688,2344,0.004781534356635803
69,137,35.02006995573058,15.409514427185059,14.167864799499512,2344,0.03545537256936196
70,100,134.75265096912503,4.895133972167969,3.6370348930358887,2422,0.009336358654794404
70,126,83.21362164074614,4.080632209777832,4.263950347900391,2344,0.0001
70,127,48.375047772846465,4.263950347900391,4.263950347900391,2344,0.0001
70,137,106.40128628157893,15.242908477783203,15.409514427185059,2344,0.0001
70,138,119.86410626434227,16.852340698242188,15.242908477783203,2344,0.0134271407064065
70,139,120.11834792242762,19.35967254638672,16.852340698242188,2344,0.020873845599040083
70,140,59.4075596234456,21.069116592407227,18.7159366607666,2344,0.039610782643761826
70,141,100.0,24.793476104736328,21.069116592407227,2344,0.037243595123291014
70,142,85.81148136748797,22.848430633544922,24.793476104736328,2344,0.0001
71,100,122.64181916423539,6.18477725982666,4.895133972167969,2422,0.010515526404021045
71,101,4.905440229856474,5.776195526123047,6.18477725982666,2422,0.0001
71,125,38.04528661270103,5.286491870880127,4.080632209777832,2344,0.03169537591812309
71,126,88.28879230341114,4.080632209777832,4.080632209777832,2344,0.0001
71,138,17.94029414233869,16.09090805053711,16.09090805053711,2344,0.0001
71,140,100.39507845064423,18.7159366607666,18.7159366607666,2344,0.0001
71,142,26.648500705250193,24.750093460083008,22.848430633544922,2344,0.0713609687678762
71,143,112.45998207211372,26.099552154541016,24.750093460083008,2344,0.011999456780925701
71,144,115.40543387485594,29.58127784729004,26.099552154541016,2344,0.030169512611724666
71,145,37.31272811879473,27.721811294555664,29.58127784729004,2344,0.0001
72,100,17.134861556134215,6.787575721740723,5.776195526123047,2422,0.05902470774592314
72,101,113.24062737939639,5.776195526123047,5.776195526123047,2422,0.0001
72,125,123.50584937448296,6.301003456115723,5.286491870880127,2344,0.0082142796505086
72,145,128.96137416468775,30.32708740234375,27.721811294555664,2344,0.020201987801875203
